IDEGAR;DEPLOYMENTAREA;WORKER_TYPE;GO LIVE DATE;SQUAD;CLUSTER;ENVIRONMENT;NAMESPACE;COMPONENT_NAME;INGRESS_CLASS;DRTYPE;ACTIVE_AZ;ACTIVATION_DATE;TECHNOLOGY;VERSION;CHART;CPU LIMIT;CPU REQUEST;MEMORY LIMIT;MEMORY REQUEST;STORAGE;REPLICAS;COMPONENT_TYPE;#ACCOUNTING PODS TYPE;#JOBS PODS TYPE;#PODS;#BUILDS OK BETWEEN 01/09/2021 and 30/09/2021;#BUILDS KO BETWEEN 01/09/2021 and 30/09/2021;#DEPLOYS OK BETWEEN 01/09/2021 and 30/09/2021;#DEPLOYS KO BETWEEN 01/09/2021 and 30/09/2021;#TOTAL_BUILDS OK;#TOTAL_BUILDS KO;#TOTAL_DEPLOYS OK;#TOTAL_DEPLOYS KO;COMPANY;DEACTIVATION_DATE;SUPPORT_TYPE;PLATFORM
A3MSJE;Intranet;ABSIS;29/06/2021;SQUAD ALM PRODUCTS;icp01-pro;pro;cxb-a3msje-pro;A3MSJE;INTRANET;AS;AZ1;08/09/2020;Jenkins;jenkinslts;jenkins-lts;27000m;9000m;57344Mi;7168Mi;0Gi;1;PAAS;1;0;1;17;0;24;0;260;6;258;42;Caixabank;;STANDARD;ICP
A3MSJE;Intranet;ABSIS;29/06/2021;SQUAD ALM PRODUCTS;icp02-pro;pro;cxb-a3msje-pro;A3MSJE;INTRANET;AS;AZ1;08/09/2020;Jenkins;jenkinslts;jenkins-lts;27000m;9000m;57344Mi;7168Mi;0Gi;1;PAAS;1;0;0;17;0;24;0;260;6;258;42;Caixabank;;STANDARD;ICP
A3MSJE;Intranet;ABSIS;29/06/2021;SQUAD ALM PRODUCTS;icp01-pre;pre;cxb-a3msje-pre;A3MSJE;INTRANET;AS;AZ1;08/09/2020;Jenkins;jenkinslts;jenkins-lts;15000m;9000m;28672Mi;7168Mi;0Gi;1;PAAS;1;0;1;17;0;24;0;260;6;258;42;Caixabank;;STANDARD;ICP
A3MSJE;Intranet;ABSIS;29/06/2021;SQUAD ALM PRODUCTS;icp02-pre;pre;cxb-a3msje-pre;A3MSJE;INTRANET;AS;AZ1;08/09/2020;Jenkins;jenkinslts;jenkins-lts;15000m;9000m;28672Mi;7168Mi;0Gi;1;PAAS;1;0;0;17;0;24;0;260;6;258;42;Caixabank;;STANDARD;ICP
A3MSJE;Intranet;ABSIS;29/06/2021;SQUAD ALM PRODUCTS;icp01-pro;pro;cxb-a3msje-pro;A3MKRN + A3MMIT;INTRANET;AP;AZ1;06/05/2021;Docker;Docker;Docker;4000m;4000m;8192Mi;4096Mi;0Gi;2;CAAS;1;0;1;0;0;0;0;3;0;13;0;Caixabank;;STANDARD;ICP
A3MSJE;Intranet;ABSIS;29/06/2021;SQUAD ALM PRODUCTS;icp02-pro;pro;cxb-a3msje-pro;A3MKRN + A3MMIT;INTRANET;AP;AZ1;06/05/2021;Docker;Docker;Docker;4000m;4000m;8192Mi;4096Mi;0Gi;2;CAAS;1;0;0;0;0;0;0;3;0;13;0;Caixabank;;STANDARD;ICP
A3MSJE;Intranet;ABSIS;29/06/2021;SQUAD ALM PRODUCTS;icp01-pre;pre;cxb-a3msje-pre;A3MKRN + A3MMIT;INTRANET;AP;AZ1;06/05/2021;Docker;Docker;Docker;4000m;3000m;8192Mi;4096Mi;0Gi;2;CAAS;1;0;1;0;0;0;0;3;0;13;0;Caixabank;;STANDARD;ICP
A3MSJE;Intranet;ABSIS;29/06/2021;SQUAD ALM PRODUCTS;icp02-pre;pre;cxb-a3msje-pre;A3MKRN + A3MMIT;INTRANET;AP;AZ1;06/05/2021;Docker;Docker;Docker;4000m;3000m;8192Mi;4096Mi;0Gi;2;CAAS;1;9;1;0;0;0;0;3;0;13;0;Caixabank;;STANDARD;ICP
A3SPAE;Internet;ABSIS;30/09/2020;SQUAD 2;icp01-pro;pro;cxb-a3spae-pro;A3SPAALIVE;INTERNET;AA;AZ1;04/05/2020;Absis3;ab3-alive;ab3-alive;300m;100m;128Mi;36Mi;1Gi;1;PAAS;1;0;1;0;0;0;0;0;0;11;2;Caixabank;;ABSIS3;ICP
A3SPAE;Internet;ABSIS;30/09/2020;SQUAD 2;icp02-pro;pro;cxb-a3spae-pro;A3SPAALIVE;INTERNET;AA;AZ1;04/05/2020;Absis3;ab3-alive;ab3-alive;300m;100m;128Mi;36Mi;1Gi;1;PAAS;1;0;1;0;0;0;0;0;0;11;2;Caixabank;;ABSIS3;ICP
